Tier 1,Construction,Base,Root,Conjugation,Alt,Alt2,Alt3,,
,negative past resultant,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,なかった,あらなかった,,,,
,negative past potential,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,なかった,えなかった,,,,
,negative past passive,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れなかった,,,,,
,negative past causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せなかった,,,,,
,negative past conditional,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,なかったら,なければ,,,,
,negative past desiderative,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・,たくなかった,,,,,
,negative past deontic,Dictionary,う・つ・る・く・ぐ・む・ぬ・ぶ・す・る,べきなかった,,,,,
,past continuous completion,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっていた,,,,,
,past continuous potential,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられた,,,,,
,past continuous passive,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられた,,,,,
,past continuous conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いたら,いなければ,,,,
,past continuous desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いたかった,,,,,
,past continuous deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いるべきだった,,,,,
,past completion potential,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえた,,,,,
,past completion passive,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまわれた,,,,,
,past completion conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまったら,しまわなければ,,,,
,past completion desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまいたかった,,,,,
,past completion deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまうべきだった,,,,,
,past resultant conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いったら,あったら,,,,
,past potential conditional,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,たら,ば,れるなら,れると,,
,past potential desiderative,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,たかった,たかった,,,,
