Tier 1,Construction,Base,Root,Conjugation,Alt,Alt2,Alt3,,
,past negative completion,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまわなかったです,しまわませんでした,,,,
,past negative resultant,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,なかったです,あらなかった,,,,
,past negative potential,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,なかったです,ませんでした,,,,
,past negative passive,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れなかったです,れませんでした,,,,
,past negative causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せなかったです,せませんでした,,,,
,past negative conditional,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,なかったら,なければ,,,,
,past negative desiderative,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・ｘ,たくなかったです,,,,,
,past negative deontic,Dictionary,う・つ・る・く・ぐ・む・ぬ・ぶ・す・る,べきなかったです,,,,,
,past continuous completion,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっていたです,しまっていました,,,,
,past continuous potential,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられたです,いられました,,,,
,past continuous passive,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられたです,いられました,,,,
,past continuous conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いたら,いなければ,,,,
,past continuous desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いたかったです,,,,,
,past continuous deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いるべきだったです,,,,,
,past completion potential,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえたです,しまえました,,,,
,past completion passive,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまわれたです,しまわれました,,,,
,past completion conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまったら,しまわなければ,,,,
,past completion desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまいたかったです,,,,,
,past completion deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまうべきだったです,,,,,
,past resultant conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いったら,あったら,,,,
,past potential conditional,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,たら,ば,れるなら,れると,,
